"x","y","fips","abbr","full","county"
1788390.31382012,-1482310.63542371,"12109","FL","Florida","St. Johns County"
1931686.9015302,-1734540.83401684,"12111","FL","Florida","St. Lucie County"
1242107.18573231,-1483439.75364178,"12113","FL","Florida","Santa Rosa County"
1747077.0297226,-1788231.09224486,"12115","FL","Florida","Sarasota County"
1826414.58929122,-1606308.1395149,"12117","FL","Florida","Seminole County"
1749790.5463328,-1629278.92875312,"12119","FL","Florida","Sumter County"
1633719.51126564,-1476356.27187119,"12121","FL","Florida","Suwannee County"
1579349.88620806,-1501260.00403379,"12123","FL","Florida","Taylor County"
1694988.82683242,-1485669.78114961,"12125","FL","Florida","Union County"
1835048.58123437,-1571676.1912208,"12127","FL","Florida","Volusia County"
1498662.30192399,-1511219.42686851,"12129","FL","Florida","Wakulla County"
1329048.64814606,-1497145.40298595,"12131","FL","Florida","Walton County"
1373004.24697112,-1483684.13961466,"12133","FL","Florida","Washington County"
1670439.35573389,-1296376.32149402,"13001","GA","Georgia","Appling County"
1622415.36912979,-1358505.12936505,"13003","GA","Georgia","Atkinson County"
