subpop,date,amount,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata
17000,2024-07-28,2058831.6003600361,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
18000,2024-07-28,413940.15630000003,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
18000,2024-07-28,2765600.1747,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
18000,2024-07-28,1272482.7027,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
18000,2024-07-28,1138502.0724,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
18000,2024-07-28,1075177.8939,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
20000,2024-07-28,185135.9807980798,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
20000,2024-07-28,1201055.1207120712,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
20000,2024-07-28,535031.3407340733,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
20000,2024-07-28,514363.6447644764,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
20000,2024-07-28,475065.9129912992,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
21000,2024-07-28,271365.0354964504,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
21000,2024-07-28,1825263.5092490753,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
21000,2024-07-28,877710.188581142,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
21000,2024-07-28,727347.2672732727,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
21000,2024-07-28,747365.99940006,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
22000,2024-07-28,302250.6576,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
22000,2024-07-28,1943173.2092000002,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
22000,2024-07-28,886695.2161999999,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
22000,2024-07-28,788743.6142,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
22000,2024-07-28,743499.3028,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
25000,2024-07-28,354894.1348134813,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
